 0.00	0.3681	-0.9298
 0.01	0.4016	-1.9292
 0.02	0.8808	-2.8070
 0.03	-0.1075	-2.6543
 0.04	-0.1262	-3.6542
 0.05	-0.1428	-4.2485
 0.06	0.3775	-5.1025
 0.07	0.2418	-5.7631
 0.08	0.9648	-6.4539
 0.09	0.1835	-7.0781
 0.10	-0.7598	-7.3075
 0.11	-0.6572	-6.6731
 0.12	-0.2480	-6.1123
 0.13	0.7271	-5.8905
 0.14	1.2061	-6.7683
 0.15	0.8716	-7.5800
 0.16	1.2925	-8.1764
 0.17	0.8361	-9.0662
 0.18	0.1394	-9.7836
 0.19	-0.5928	-9.9352
 0.20	-1.5844	-10.0642
 0.21	-2.3829	-9.4622
 0.22	-2.1756	-8.4839
 0.23	-1.2122	-8.2160
 0.24	-0.4096	-8.8125
 0.25	0.4326	-8.9447
 0.26	1.4325	-8.9352
 0.27	2.0024	-8.1584
 0.28	1.0153	-7.9981
 0.29	0.1659	-7.4703
 0.30	-0.5831	-6.8078
 0.31	-1.3807	-6.2045
 0.32	-1.6747	-5.3160
 0.33	-0.8190	-5.2301
 0.34	0.0480	-5.7283
 0.35	-0.6164	-6.4756
 0.36	-1.2990	-7.2064
 0.37	-2.2637	-7.4700
 0.38	-3.1480	-7.1740
 0.39	-3.6345	-6.3003
 0.40	-3.5053	-5.3087
 0.41	-2.5106	-5.2063
 0.42	-1.5437	-4.9512
 0.43	-1.1896	-4.1864
 0.44	-1.1156	-3.1892
 0.45	-0.4191	-2.7706
 0.46	0.5637	-2.9553
 0.47	1.0819	-3.8106
 0.48	1.6326	-4.6453
 0.49	1.4218	-5.6228
 0.50	1.8397	-6.4138
 0.51	2.6918	-6.9372
 0.52	1.7930	-6.4988
 0.53	1.1718	-7.2757
 0.54	0.3784	-7.8844
 0.55	-0.2682	-7.3534
 0.56	-1.2676	-7.3865
 0.57	-2.2650	-7.3139
 0.58	-1.8694	-6.3955
 0.59	-1.1405	-5.7109
 0.60	-0.4038	-5.5945
 0.61	-0.2716	-4.6552
 0.62	-0.5855	-3.8464
 0.63	-0.2479	-2.9051
 0.64	0.1648	-1.9942
 0.65	0.8169	-1.2361
 0.66	1.4194	-0.4380
 0.67	2.3215	-0.0063
 0.68	2.8867	-0.8313
 0.69	3.3648	-0.5298
 0.70	3.9641	0.0706
 0.71	3.8229	-0.5767
 0.72	4.0263	0.4024
